Repo,NodeEngine,Nvmrc,TypeScript,NextJS,Supabase
01-app,NO_PKG_JSON,v20.18.0,MISSING,MISSING,MISSING
ACID MONK Hook Generator,>=20.9.0,v20.18.0,^5.8.2,^16.0.7,^2.49.4
Agent-Dialog-Manager,NO_PKG_JSON,v20.18.0,MISSING,MISSING,MISSING
AI-Inspector-Documentator,>=20.9.0,v20.18.0,MISSING,MISSING,MISSING
AI-SLIDER-GENERATOR,>=20.9.0,v20.18.0,MISSING,^16.1.0,MISSING
APIKEYSAVE,NO_PKG_JSON,v20.18.0,MISSING,MISSING,MISSING
Audio-Mastering,NO_PKG_JSON,v20.18.0,MISSING,MISSING,MISSING
Audio-Transkriptor,>=20.9.0,v20.18.0,^5.8.2,^15.5.7,^2.49.4
Auto_tiktok_video_generator,NO_PKG_JSON,v20.18.0,MISSING,MISSING,MISSING
baker-win,NO_PKG_JSON,v20.18.0,MISSING,MISSING,MISSING
Browser-Use,NO_PKG_JSON,v20.18.0,MISSING,MISSING,MISSING
Catering,>=20.9.0,v20.18.0,^5.8.2,15.5.6,MISSING
Colab-Sound,NO_PKG_JSON,v20.18.0,MISSING,MISSING,MISSING
ComicGenerator,NO_PKG_JSON,v20.18.0,MISSING,MISSING,MISSING
ComicGenerator -Techeroes,>=20.9.0,v20.18.0,MISSING,MISSING,MISSING
comicgenerator-techeroes,>=20.9.0,v20.18.0,MISSING,MISSING,MISSING
DevVault,>=20.9.0,v20.18.0,MISSING,MISSING,MISSING
drawio-mcp-vercel-temp,NO_PKG_JSON,v20.18.0,MISSING,MISSING,MISSING
DreamEdit,>=20.9.0,v20.18.0,MISSING,^16.0.10,^2.49.4
DreamPath Visualizer,>=20.9.0,v20.18.0,MISSING,MISSING,MISSING
ElektromagnetischerSessel,NO_PKG_JSON,v20.18.0,MISSING,MISSING,MISSING
epdf,>=20.9.0,v20.18.0,MISSING,MISSING,MISSING
Evolution-Manager,>=20.9.0,v20.18.0,MISSING,MISSING,MISSING
Face Effects Studio,NO_PKG_JSON,v20.18.0,MISSING,MISSING,MISSING
Facebook Post Planner,NO_PKG_JSON,v20.18.0,MISSING,MISSING,MISSING
Facetalk,NO_PKG_JSON,v20.18.0,MISSING,MISSING,MISSING
GIT-CLEANER,NO_PKG_JSON,v20.18.0,MISSING,MISSING,MISSING
GIT-PLATZ-SCHAFFEN,NO_PKG_JSON,v20.18.0,MISSING,MISSING,MISSING
GPS-Wanderkarten,NO_PKG_JSON,v20.18.0,MISSING,MISSING,MISSING
Hashimoto,NO_PKG_JSON,v20.18.0,MISSING,MISSING,MISSING
Heldenquiz,>=20.9.0,v20.18.0,MISSING,MISSING,MISSING
HGUGO-Publisher,NO_PKG_JSON,v20.18.0,MISSING,MISSING,MISSING
